,date,hour,kitchen,bathroom,lounge,frontdoor,bedroom,kettle,hallway,fridgedoor,backdoor,oven,total
0,2019-08-14,0,0,0,0,0,0,0,0,0,0,0,0
1,2019-08-14,1,0,0,0,0,0,0,0,0,0,0,0
2,2019-08-14,2,0,0,0,0,0,0,0,0,0,0,0
3,2019-08-14,3,0,0,0,0,0,0,0,0,0,0,0
4,2019-08-14,4,0,0,0,0,0,0,0,0,0,0,0
5,2019-08-14,5,0,0,0,0,0,0,0,0,0,0,0
6,2019-08-14,6,0,0,0,0,0,0,0,0,0,0,0
7,2019-08-14,7,0,0,0,0,0,0,0,0,0,0,0
8,2019-08-14,8,0,0,0,0,0,0,0,0,0,0,0
9,2019-08-14,9,0,0,0,0,0,0,0,0,0,0,0
10,2019-08-14,10,0,0,0,0,0,0,0,0,0,0,0
11,2019-08-14,11,0,0,0,0,0,0,0,0,0,0,0
12,2019-08-14,12,0,0,0,0,0,0,0,0,0,0,0
13,2019-08-14,13,0,0,0,0,0,0,0,0,0,0,0
14,2019-08-14,14,0,0,2,1,0,0,3,0,0,0,6
15,2019-08-14,15,2,0,1,0,0,1,4,1,1,0,10
16,2019-08-14,16,4,0,6,0,0,0,5,3,0,0,18
17,2019-08-14,17,3,1,4,0,0,0,3,0,0,0,11
18,2019-08-14,18,2,0,3,0,0,1,3,1,0,0,10
19,2019-08-14,19,2,0,3,0,0,0,4,0,0,0,9
20,2019-08-14,20,0,1,2,0,3,0,4,0,0,0,10
21,2019-08-14,21,0,2,0,0,2,0,0,0,0,0,4
22,2019-08-14,22,0,0,0,0,0,0,0,0,0,0,0
23,2019-08-14,23,0,1,0,0,1,0,0,0,0,0,2
24,2019-08-15,0,0,0,0,0,0,0,0,0,0,0,0
25,2019-08-15,1,0,0,0,0,0,0,0,0,0,0,0
26,2019-08-15,2,0,1,0,0,1,0,0,0,0,0,2
27,2019-08-15,3,0,0,0,0,0,0,0,0,0,0,0
28,2019-08-15,4,0,1,0,0,1,0,0,0,0,0,2
29,2019-08-15,5,0,1,0,0,1,0,0,0,0,0,2
30,2019-08-15,6,6,2,1,0,1,1,5,2,0,0,18
31,2019-08-15,7,0,0,0,0,0,0,0,0,0,0,0
32,2019-08-15,8,6,1,1,0,3,2,6,2,0,0,21
33,2019-08-15,9,4,0,0,0,0,0,5,2,3,0,14
34,2019-08-15,10,0,0,0,0,0,0,0,0,0,0,0
35,2019-08-15,11,5,0,0,0,0,1,4,1,1,0,12
36,2019-08-15,12,3,0,1,0,0,0,2,1,0,0,7
37,2019-08-15,13,1,0,3,0,0,0,4,0,0,0,8
38,2019-08-15,14,1,0,4,0,1,0,4,0,0,0,10
39,2019-08-15,15,3,2,7,0,0,0,6,0,1,0,19
40,2019-08-15,16,8,0,5,2,0,1,9,5,0,0,30
41,2019-08-15,17,2,1,5,0,0,0,7,0,0,0,15
42,2019-08-15,18,2,0,3,0,0,1,3,1,0,0,10
43,2019-08-15,19,7,0,4,0,0,0,6,3,0,0,20
44,2019-08-15,20,0,4,12,4,6,0,7,0,0,0,33
45,2019-08-15,21,0,0,1,0,0,0,1,0,0,0,2
46,2019-08-15,22,0,1,0,0,1,0,0,0,0,0,2
47,2019-08-15,23,0,1,0,0,1,0,0,0,0,0,2
48,2019-08-16,0,0,0,0,0,0,0,0,0,0,0,0
49,2019-08-16,1,0,1,0,0,1,0,0,0,0,0,2
50,2019-08-16,2,0,2,0,0,2,0,0,0,0,0,4
51,2019-08-16,3,0,0,0,0,0,0,0,0,0,0,0
52,2019-08-16,4,0,1,0,0,1,0,0,0,0,0,2
53,2019-08-16,5,0,0,0,0,0,0,0,0,0,0,0
54,2019-08-16,6,4,2,1,1,3,1,4,1,0,0,17
55,2019-08-16,7,9,4,0,1,1,0,9,3,2,2,31
56,2019-08-16,8,1,2,2,4,3,0,9,1,0,0,22
57,2019-08-16,9,4,0,0,0,0,1,5,3,0,0,13
58,2019-08-16,10,4,0,1,0,1,1,5,1,0,0,13
59,2019-08-16,11,4,0,2,0,0,1,5,1,0,0,13
60,2019-08-16,12,3,0,0,0,0,0,0,2,1,0,6
61,2019-08-16,13,3,0,0,0,0,1,2,1,0,0,7
62,2019-08-16,14,2,0,3,0,0,0,5,1,0,0,11
63,2019-08-16,15,2,0,3,0,0,1,4,1,0,0,11
64,2019-08-16,16,5,1,7,0,0,0,7,3,0,0,23
65,2019-08-16,17,2,3,4,0,0,0,9,0,0,0,18
66,2019-08-16,18,8,0,9,0,0,1,7,1,0,0,26
67,2019-08-16,19,3,0,2,0,0,0,3,0,0,0,8
68,2019-08-16,20,3,1,8,0,7,0,8,0,0,0,27
69,2019-08-16,21,2,0,2,0,0,0,4,0,0,0,8
70,2019-08-16,22,0,0,0,0,1,0,0,0,0,0,1
71,2019-08-16,23,0,1,0,0,0,0,0,0,0,0,1
72,2019-08-17,0,0,1,0,0,1,0,0,0,0,0,2
73,2019-08-17,1,0,1,0,0,1,0,0,0,0,0,2
74,2019-08-17,2,0,1,0,0,1,0,0,0,0,0,2
75,2019-08-17,3,0,1,0,0,1,0,0,0,0,0,2
76,2019-08-17,4,0,0,0,0,0,0,0,0,0,0,0
77,2019-08-17,5,0,1,0,0,2,0,0,0,0,0,3
78,2019-08-17,6,0,2,0,0,1,0,0,0,0,0,3
79,2019-08-17,7,7,1,2,0,2,1,9,3,0,0,25
80,2019-08-17,8,6,2,0,1,0,1,7,2,1,0,20
81,2019-08-17,9,3,1,1,3,0,0,6,0,0,0,14
82,2019-08-17,10,5,0,1,0,0,1,3,4,1,0,15
83,2019-08-17,11,7,0,2,0,0,0,7,1,1,0,18
84,2019-08-17,12,6,3,0,0,2,0,5,1,2,0,19
85,2019-08-17,13,0,0,1,0,0,0,1,0,0,0,2
86,2019-08-17,14,2,0,3,0,0,1,3,1,0,0,10
87,2019-08-17,15,3,0,2,0,0,0,3,0,1,0,9
88,2019-08-17,16,1,0,1,0,0,0,2,0,0,0,4
89,2019-08-17,17,3,0,3,0,0,1,3,1,0,0,11
90,2019-08-17,18,4,0,6,0,0,0,6,1,0,1,18
91,2019-08-17,19,1,0,1,0,0,0,2,0,0,0,4
92,2019-08-17,20,0,1,3,0,2,0,4,0,0,0,10
93,2019-08-17,21,0,0,0,0,0,0,0,0,0,0,0
94,2019-08-17,22,0,1,0,0,1,0,0,0,0,0,2
95,2019-08-17,23,0,0,0,0,0,0,0,0,0,0,0
96,2019-08-18,0,0,1,0,0,1,0,0,0,0,0,2
97,2019-08-18,1,0,0,0,0,0,0,0,0,0,0,0
98,2019-08-18,2,0,1,0,0,1,0,0,0,0,0,2
99,2019-08-18,3,0,1,0,0,1,0,0,0,0,0,2
100,2019-08-18,4,0,0,0,0,0,0,0,0,0,0,0
101,2019-08-18,5,0,3,0,0,3,0,0,0,0,0,6
102,2019-08-18,6,4,2,2,1,1,1,3,4,0,0,18
103,2019-08-18,7,1,0,0,0,0,0,1,0,0,0,2
